구_동,PC방,가구 소매업,가발 소매업,가방 소매업,가스 충전소,가전제품 소매업,가전제품 수리업,가정용 연료 소매업,가죽/가방/신발 수선업,가축 사료 소매업,건강보조식품 소매업,건물 및 토목 엔지니어링 서비스업,건설/건축자재 소매업,건설기계/장비 대여업,건어물/젓갈 소매업,건축 설계 및 관련 서비스업,건축물 일반 청소업,결혼 상담 서비스업,경양식,경영 컨설팅업,고용 알선업,곡물/곡분 소매업,골프 연습장,곱창 전골/구이,공인노무사,공인회계사,광고 대행업,광고 매체 판매업,광고물 설계/제작업,교육컨설팅업,구내식당,국/탕/찌개류,국수/칼국수,그 외 기타 간이 음식점,그 외 기타 개인/가정용품 수리업,그 외 기타 교육기관,그 외 기타 상품 전문 소매업,그 외 기타 숙박업,그 외 기타 종합 소매업,기념품점,기숙사/고시원,기타 개인/가정용품 대여업,기타 건설/건축자재 소매업,기타 광고 관련 서비스업,기타 교육지원 서비스업,기타 기술/직업 훈련학원,기타 동남아식 전문,기타 법무관련 서비스업,기타 사무 지원 서비스업,기타 산업용 기계/장비 대여업,기타 서양식 음식점,기타 스포츠시설 운영업,기타 엔지니어링 서비스업,기타 여행 보조/예약 서비스업,기타 예술/스포츠 교육기관,기타 오락관련 서비스업,기타 오락장,기타 운송장비 대여업,기타 의류 소매업,기타 의원,기타 일식 음식점,기타 한식 음식점,기타 회계 관련 서비스업,김밥/만두/분식,꽃집,낚시터 운영업,남성 의류 소매업,내과/소아과 의원,냉면/밀면,네일숍,노래방,닭/오리고기 구이/찜,담배/전자담배 소매업,당구장,도시 계획 및 조경 설계 서비스업,독서실/스터디 카페,동물병원,돼지고기 구이/찜,떡/한과,레크리에이션 교육기관,마라탕/훠궈,마사지/안마,만화방,명함/간판/광고물 제작,모터사이클 및 부품 소매업,모터사이클 수리업,목욕탕/사우나,무도 유흥 주점,문구/회화용품 소매업,미술학원,미용실,바둑/장기/체스 경기 운영업,반찬/식료품 소매업,방사선 진단/병리 검사 의원,백반/한정식,버거,번역/통역 서비스업,법무사,베트남식 전문,벽지/장판/마루 소매업,변리사,변호사,복 요리 전문,복권 발행/판매업,복사업,볼링장,부동산 중개/대리업,분류 안된 외국식 음식점,뷔페,비디오방,빵/도넛,사무기기 소매업,사업/무형 재산권 중개업,사업시설 유지·관리 서비스업,사진기/기타 광학기기 소매업,사진촬영업,사회교육시설,산부인과 의원,"산업설비, 운송장비 및 공공장소 청소업",상용 인력 공급 및 인사관리 서비스업,생맥주 전문,생수/음료 소매업,서점,성형외과 의원,세무사,세탁소,셀프 빨래방,소고기 구이/찜,"소독, 구충 및 방제 서비스업",수산물 소매업,수상/해양 레저업,수영장,슈퍼마켓,스쿼시/라켓볼장,스포츠/레크리에이션 용품 대여업,시각 디자인업,시계/귀금속 소매업,시계/귀금속/악기 수리업,시장 조사 및 여론 조사업,신경/정신과 의원,신발 소매업,실/섬유제품 소매업,아이스크림 할인점,아이스크림/빙수,악기 소매업,안경렌즈 소매업,안과 의원,애완동물/애완용품 소매업,액세서리/잡화 소매업,약국,얼음 소매업,여관/모텔,여성 의류 소매업,여행사,예술품 소매업,예식장업,옥외/전시 광고 대행업,외과 의원,외국어학원,요가/필라테스 학원,요리 주점,요양병원,우유 소매업,운동용품 소매업,운전학원,유사 의료업,유아용 의류 소매업,음반/비디오물 대여업,음반/비디오물 소매업,음악학원,의료기기 소매업,의류 대여업,의류/이불 수선업,이비인후과 의원,인테리어 디자인업,일반 유흥 주점,일반병원,일식 면 요리,일식 카레/돈가스/덮밥,일식 회/초밥,임시/일용 인력 공급업,입시·교과학원,자동차 대여업,자동차 부품 소매업,자동차 세차장,자동차 정비소,자전거 소매업,장난감 소매업,장례식장,전/부침개,전기용품/조명장치 소매업,전문자격/고시학원,전시/컨벤션/행사 대행 서비스업,전자 게임장,정육점,제품 디자인업,조경 유지·관리 서비스업,족발/보쌈,종합 스포츠시설,종합병원,주류 소매업,주방/가정용품 소매업,주유소,중고 상품 소매업,중국집,직원 훈련기관,채소/과일 소매업,철물/공구 소매업,청소년 수련시설,체형/비만 관리,치과병원,치과의원,치킨,침구류/커튼 소매업,카페,캠핑/글램핑,컴퓨터 학원,컴퓨터/노트북/프린터 수리업,컴퓨터/사무기기 대여업,컴퓨터/소프트웨어 소매업,타이어 소매업,탁구장,태권도/무술학원,테니스장,토스트/샌드위치/샐러드,파스타/스테이크,패밀리레스토랑,패션/섬유/기타 전문 디자인업,펜션,편의점,포장/충전업,피부 관리실,피부/비뇨기과 의원,피자,한방병원,한복 소매업,한의원,해산물 구이/찜,핸드폰 소매업,핸드폰/통신장비 수리업,행정사,헬스장,호텔/리조트,화장터/묘지/납골당,화장품 소매업,환경 관련 엔지니어링 서비스업,횟집,포토부스 개수,학교 개수,대학교 개수
마포구 서교동,6,6,3,17,0,5,5,0,1,0,8,6,1,1,1,85,15,1,138,167,8,1,4,20,5,3,219,3,56,15,3,22,19,23,10,24,16,0,10,9,25,19,0,8,29,53,4,1,6,9,5,6,12,8,33,22,53,1,155,0,6,1,0,78,20,0,31,3,3,67,43,14,6,7,0,14,7,90,0,16,12,9,1,34,4,0,2,6,15,18,217,0,10,0,277,9,12,3,23,3,1,13,1,3,7,3,148,0,0,3,48,1,21,14,1,167,6,2,2,4,54,2,15,1,41,10,0,7,3,1,0,0,32,0,5,159,18,1,12,4,15,3,2,3,3,24,0,11,42,17,1,9,52,109,24,2,8,3,11,35,294,1,0,9,1,4,5,1,4,19,6,0,6,1,61,31,0,17,8,138,10,28,1,1,1,5,1,17,0,1,3,3,66,3,2,40,0,7,0,0,3,16,0,12,59,7,2,2,0,3,0,7,35,2,399,1,2,8,1,7,0,1,3,1,5,13,1,33,99,90,3,82,5,50,0,1,9,13,17,3,7,25,5,0,57,3,17,12.0,1.0,0.0
마포구 성산동,2,2,0,3,0,5,10,2,0,0,9,8,1,1,3,61,19,3,20,43,0,1,4,4,1,0,64,0,14,7,3,18,9,7,5,9,1,0,1,7,2,6,0,2,12,15,0,0,0,10,1,2,8,1,5,3,3,1,36,1,0,1,0,28,11,0,4,1,0,11,14,1,2,6,1,10,4,25,5,1,2,1,0,12,2,0,3,0,8,4,59,0,11,0,75,5,5,2,1,4,1,1,1,2,2,0,90,0,0,0,33,2,2,7,0,59,0,0,2,0,3,2,9,0,8,23,4,1,5,6,0,0,28,0,2,73,4,0,0,0,4,1,0,2,0,6,0,7,4,13,1,2,22,35,10,1,3,0,1,20,27,0,0,7,1,2,0,0,1,11,4,0,5,0,32,2,0,2,7,22,5,35,2,4,8,30,2,2,0,3,4,0,31,1,3,17,2,4,2,0,3,9,7,1,15,7,10,5,1,1,0,1,17,3,106,0,1,6,4,6,1,1,1,4,4,0,0,14,16,68,1,6,0,23,0,0,1,12,7,1,4,9,0,0,14,2,5,0.0,8.0,0.0
마포구 신공덕동,0,0,0,0,0,3,2,1,0,0,1,4,0,1,0,6,0,0,3,6,1,0,0,0,0,0,8,0,0,1,1,1,1,2,0,1,0,0,2,1,1,0,0,0,2,1,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,7,2,0,0,1,0,3,4,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,12,0,0,0,6,1,1,2,3,1,0,1,0,0,0,0,22,0,0,0,7,0,0,0,1,3,0,0,0,0,1,0,0,0,3,3,0,1,0,0,0,0,3,0,0,4,2,0,2,1,0,0,0,1,2,0,0,0,0,8,0,0,1,6,1,0,0,0,0,3,3,0,0,2,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,5,0,4,2,0,0,0,0,0,1,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,1,7,0,17,0,0,2,1,1,0,1,1,1,1,1,0,1,1,5,0,4,0,1,0,0,0,0,1,0,0,3,0,0,4,29,2,0.0,0.0,0.0
마포구 신수동,3,0,0,1,0,4,2,0,0,0,3,1,1,2,0,9,6,2,10,20,2,0,2,3,0,1,9,1,5,1,4,9,1,4,2,2,0,0,2,2,5,0,1,2,7,5,0,0,2,1,0,0,3,1,4,0,0,0,8,0,0,0,0,14,9,0,0,0,0,3,4,1,0,2,1,8,0,6,1,3,1,0,0,9,1,3,0,0,5,3,30,0,2,0,41,1,0,1,4,3,1,0,0,2,6,0,37,0,0,0,11,0,1,2,0,10,0,0,0,0,0,0,6,0,42,5,2,0,1,1,0,0,12,0,0,5,1,0,1,0,2,0,0,1,1,3,0,3,0,5,0,0,3,5,1,3,0,1,4,6,12,0,1,4,0,0,0,0,2,4,0,1,3,0,7,0,1,0,0,5,3,25,1,1,1,6,0,0,0,0,1,0,3,0,0,1,0,1,1,0,0,2,0,0,5,1,1,1,0,0,0,0,11,0,53,0,1,0,1,3,0,1,0,2,4,2,0,3,3,14,0,3,1,2,0,0,1,2,2,3,3,3,0,0,5,0,4,0.0,4.0,1.0
마포구 신정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
마포구 아현동,0,10,0,2,0,0,0,0,0,0,4,1,0,0,0,4,2,0,2,19,2,0,3,2,1,0,6,1,3,2,1,9,6,7,8,2,2,0,1,0,4,0,1,0,2,1,0,0,0,0,0,1,0,1,2,0,1,0,12,3,1,0,0,18,5,0,1,5,0,4,0,1,1,1,0,1,3,8,1,2,0,2,0,4,0,1,1,0,3,6,49,0,3,0,32,0,1,7,0,2,0,2,0,3,0,0,62,0,3,0,8,0,0,5,0,5,0,1,1,0,1,0,1,0,3,8,6,2,1,0,0,1,26,0,0,4,2,0,1,1,2,1,0,1,0,4,0,4,0,12,0,1,9,11,0,0,0,2,0,11,16,0,1,1,0,0,1,0,0,2,0,3,4,0,6,4,1,1,1,7,0,29,1,0,2,3,0,1,0,0,0,0,1,0,4,0,0,1,0,0,1,34,0,2,3,2,5,5,0,1,0,7,11,6,32,0,0,3,0,1,0,0,3,0,0,1,0,0,0,11,0,6,5,6,0,1,3,1,4,1,0,11,0,0,9,0,5,0.0,5.0,0.0
마포구 연남동,1,3,0,7,0,1,2,0,0,0,2,0,0,0,0,21,5,1,125,36,0,0,1,3,0,0,38,0,16,5,1,3,11,6,3,10,5,2,10,7,5,1,2,0,3,10,2,0,0,9,3,1,4,5,16,3,1,0,27,0,3,1,0,23,8,0,9,0,2,54,7,1,3,2,1,7,0,20,4,2,1,4,0,10,2,1,1,0,3,6,74,0,5,0,102,2,2,1,14,3,1,1,0,2,0,0,51,0,1,0,81,0,1,2,1,66,0,0,0,1,11,0,14,0,5,7,2,0,0,0,0,0,16,0,0,62,2,0,1,0,1,3,0,1,2,3,0,7,14,2,0,3,16,24,10,0,1,0,2,7,102,0,0,0,0,2,1,0,0,2,0,2,3,0,36,14,0,5,4,81,1,10,0,1,3,5,1,4,0,1,1,0,23,1,2,23,1,1,1,0,1,6,0,1,29,3,2,5,0,1,0,2,8,1,262,0,0,1,0,1,0,0,0,0,3,5,0,12,146,30,4,10,1,19,0,0,2,2,1,0,0,4,0,0,21,0,6,2.0,3.0,0.0
마포구 염리동,0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,3,3,0,5,18,2,0,1,1,0,0,6,0,3,1,0,4,4,2,0,3,0,0,1,1,1,1,1,0,0,3,0,0,0,0,1,1,3,0,3,0,2,0,2,0,0,0,0,16,4,0,1,1,0,4,6,1,0,2,0,2,2,20,4,1,0,3,0,2,0,1,1,0,2,2,22,0,2,0,26,2,0,1,1,0,0,0,0,1,0,0,47,0,0,0,8,0,2,0,0,5,1,0,0,0,2,1,2,0,1,9,2,2,0,1,0,0,15,0,0,5,3,0,1,0,0,0,2,0,0,1,0,2,0,5,0,2,2,4,0,0,0,0,2,10,8,0,0,0,0,0,2,0,0,5,3,8,0,0,3,2,0,2,1,6,1,17,0,0,2,4,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,4,1,2,5,2,1,3,0,1,0,2,6,1,39,0,0,1,2,1,0,1,2,0,2,0,0,0,4,14,0,5,0,6,0,0,1,2,6,0,0,4,0,0,4,0,1,0.0,6.0,0.0
마포구 용강동,2,1,0,0,0,2,2,1,0,0,3,2,0,0,0,11,2,0,6,24,3,0,6,1,0,0,15,0,3,0,1,7,2,0,1,1,0,0,1,1,3,0,0,0,1,1,0,0,1,1,0,0,3,0,2,1,1,0,2,0,0,0,0,1,1,0,0,0,1,1,13,2,0,2,1,2,1,18,2,1,0,3,0,5,0,0,2,0,3,0,7,0,1,0,29,0,0,0,0,0,0,2,0,0,1,0,21,0,0,0,3,0,0,1,0,2,0,0,0,0,11,0,3,0,1,1,1,4,1,1,0,1,4,0,1,8,0,1,0,0,0,0,0,1,1,1,0,1,0,2,0,0,2,14,2,0,0,0,1,2,21,0,0,0,0,1,0,0,0,0,2,0,1,0,3,5,0,1,1,13,1,7,0,2,1,4,1,0,1,0,0,0,3,0,1,4,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,4,2,12,0,0,3,2,0,0,0,0,3,1,1,0,2,1,11,0,3,0,4,0,0,0,4,0,0,0,3,0,0,2,1,6,0.0,0.0,0.0
마포구 중동,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,2,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,6,2,0,0,2,1,2,0,1,0,2,0,1,0,3,1,1,0,0,0,2,0,0,0,0,0,2,11,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,8,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,1,6,0,0,5,1,1,0,0,0,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,1,0,5,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,5,0,9,0,1,0,0,0,0,0,0,0,1,1,0,1,0,7,0,7,2,5,0,0,0,2,2,0,0,1,0,0,2,0,0,0.0,2.0,0.0
마포구 창전동,1,3,0,2,1,2,1,0,0,0,0,0,0,0,0,4,3,0,13,13,1,0,2,0,0,1,12,0,3,1,0,4,5,2,0,1,1,0,0,2,5,2,0,0,4,3,0,0,0,1,0,0,0,1,2,1,0,0,5,0,0,0,0,15,2,0,1,0,0,3,1,2,0,1,0,3,0,9,2,2,1,0,0,6,2,0,1,1,4,7,18,0,2,0,15,1,1,2,1,1,0,0,0,1,1,0,20,0,1,0,4,0,0,4,0,10,0,0,0,0,4,0,2,0,1,6,1,0,1,0,0,0,3,0,2,11,1,0,1,0,0,0,0,2,2,1,0,3,1,3,0,0,4,4,3,0,0,0,0,12,8,0,0,0,0,0,0,0,0,1,0,0,2,0,4,2,0,1,0,4,3,14,0,1,3,9,1,1,0,0,1,0,3,0,1,3,0,2,0,0,0,1,3,0,4,0,1,2,0,0,0,1,11,1,38,0,1,1,0,1,0,0,1,0,1,0,0,4,9,16,0,1,0,6,0,1,1,1,1,0,1,4,0,0,4,2,1,0.0,0.0,0.0
마포구 토정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
마포구 하중동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0
마포구 합정동,1,2,2,2,0,5,4,1,1,0,5,3,0,6,0,38,12,3,63,68,1,0,2,5,2,2,93,1,17,5,4,15,6,4,5,13,5,0,2,2,2,4,0,8,11,15,0,0,2,6,1,2,5,0,8,4,0,1,24,0,1,0,0,24,15,0,4,1,1,17,13,2,4,3,6,4,1,39,0,5,1,2,1,9,2,0,1,1,4,5,78,0,4,0,65,1,6,1,13,2,2,0,0,2,0,0,77,1,0,0,32,1,3,3,0,57,1,1,2,1,11,1,5,0,14,6,1,3,1,0,0,0,10,0,2,93,4,0,2,0,4,0,0,1,2,8,0,6,7,7,1,9,11,38,7,0,2,0,1,22,77,0,0,2,0,1,2,0,1,9,4,0,2,1,38,5,0,4,2,49,1,5,2,0,5,8,1,2,2,0,1,0,32,1,1,20,0,2,0,0,2,9,0,4,14,2,0,6,0,0,0,1,9,4,140,0,2,9,1,5,0,0,3,2,1,0,1,13,16,33,1,22,3,13,0,0,1,9,4,0,4,12,0,1,18,2,5,5.0,2.0,0.0
마포구 현석동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0,0.0,0.0
서대문구 남가좌동,3,3,0,2,0,2,4,0,0,0,6,0,2,0,2,1,6,2,11,15,3,1,2,6,0,0,15,0,4,4,2,14,8,5,5,3,3,0,5,2,8,2,0,1,4,12,0,0,0,0,1,2,4,3,2,1,1,0,17,1,0,2,0,41,4,0,2,2,3,6,14,7,1,7,0,7,3,26,8,4,3,3,1,4,1,2,1,3,8,6,75,2,18,0,80,6,1,1,7,5,0,0,0,2,4,2,66,0,1,0,26,0,1,3,0,12,0,0,2,0,7,0,2,0,5,10,2,0,1,2,0,0,25,0,0,8,6,0,1,0,5,1,0,3,0,8,1,5,3,22,0,6,19,7,3,0,0,2,0,14,39,0,0,2,0,0,1,0,1,6,0,0,5,1,12,12,0,2,1,16,3,37,0,2,5,11,2,1,0,0,2,1,7,0,11,0,0,11,0,0,1,3,2,2,14,2,10,9,0,0,0,7,27,3,75,0,0,2,0,4,0,0,3,3,5,2,0,2,3,30,1,9,3,15,0,1,3,3,8,0,1,7,0,0,8,1,7,2.0,3.0,1.0
서대문구 냉천동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,1,2,3,0,2,1,1,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,2,0,0,0,2,0,2,1,8,1,0,0,0,0,1,0,0,0,0,2,0,7,0,0,0,19,1,0,0,1,0,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,3,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,2,5,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,5,0,0,1,4,4,0,0,0,0,0,2,0,1,0.0,0.0,1.0
서대문구 대신동,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,4,2,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0.0,3.0,0.0
서대문구 대현동,3,0,0,3,0,3,1,0,2,0,3,0,0,0,0,1,0,0,21,28,3,0,0,0,0,0,10,0,0,4,4,2,3,7,0,4,2,1,2,1,14,2,0,0,8,20,1,0,2,1,2,2,0,0,3,0,0,0,41,1,0,0,0,39,6,0,2,2,1,18,4,3,1,0,0,7,0,7,1,2,9,0,2,4,0,0,1,0,5,1,63,0,2,0,44,3,2,1,6,1,0,3,0,0,2,2,43,0,0,0,17,0,0,1,0,22,1,1,0,0,0,1,1,0,3,5,1,0,1,0,0,0,13,0,0,11,4,0,0,0,5,1,0,1,1,4,0,4,10,6,0,7,13,10,6,0,0,1,0,14,13,0,0,1,1,1,1,0,0,1,0,7,8,0,2,0,0,2,4,15,0,2,2,1,1,0,0,1,0,0,1,0,7,2,1,2,0,4,0,0,3,2,0,1,9,0,1,2,0,0,0,3,8,0,81,0,1,1,0,2,0,0,1,1,3,2,0,2,3,28,0,22,0,13,0,0,0,1,4,0,0,5,3,0,19,0,0,3.0,1.0,1.0
서대문구 미근동,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,2,0,0,0,3,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,3,1,0,2,0,0,0,6,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,2,1,0,1,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0.0,1.0,0.0
서대문구 봉원동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
서대문구 북가좌동,5,0,0,1,1,8,4,1,0,0,11,1,1,0,0,8,12,0,8,18,1,1,3,3,0,1,10,1,8,3,0,11,3,7,10,4,4,0,0,5,6,0,0,1,4,9,1,0,0,3,0,0,4,0,3,1,2,0,11,0,0,1,0,22,5,0,1,0,3,8,13,2,4,7,0,5,5,27,2,2,0,1,0,5,5,2,1,1,7,3,89,0,4,0,70,4,1,0,2,7,0,0,0,2,0,0,87,0,0,0,19,2,1,3,1,9,1,0,1,0,6,1,2,0,0,24,2,1,0,0,0,1,35,0,1,15,4,0,3,1,0,0,0,2,0,5,1,3,1,14,0,3,4,6,2,0,1,3,1,16,38,0,0,2,0,1,1,0,0,7,1,0,3,1,13,1,0,2,4,12,2,36,0,1,1,14,2,0,2,0,1,1,2,0,2,3,0,3,0,0,1,5,0,4,7,0,0,11,0,2,0,3,27,3,49,0,1,6,3,6,0,0,4,2,2,5,1,2,7,37,0,11,4,10,0,0,2,6,19,1,0,11,0,0,9,0,4,0.0,3.0,0.0
