상가업소번호,상호명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번주소,도로명코드,도로명,도로명주소,구우편번호,신우편번호,경도,위도,시,구,동,그외주소,구_동,학교,술집,노래방,다른 포토부스 개수,Closest_Location_1,Closest_Location_2,Closest_Location_3,Fee_1,Fee_2,Fee_3,distance_1,distance_2,distance_3,estimated_fee
MA010120220807122485,아름다운사진,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11620,관악구,11620685,신사동,1162010200,신림동,1162010200104670040,서울특별시 관악구 신림동 467-40,116204160208,서울특별시 관악구 남부순환로163다길,서울특별시 관악구 남부순환로163다길 23,151893,8763,126.922582372764,37.4855053982732,서울특별시,관악구,신림동,467-40,관악구 신림동,36,370,130,0,신림역,독산/시흥,서울대입구역,70.9,31.2,60.6,11148.242548715416,9490.355447027752,12233.123279879565,53.54742857263468
MA0101202306A0064122,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73302,상업용 사진 촬영업,11140,중구,11140605,을지로동,1114016100,저동2가,1114016100100070002,서울특별시 중구 저동2가 7-2,111404103233,서울특별시 중구 을지로12길,서울특별시 중구 을지로12길 28,100032,4550,126.990551970111,37.565172703705,서울특별시,중구,저동2가,7-2,중구 저동2가,38,704,72,0,충무로,명동,시청,53.4,140.4,87.6,1662.8995365619205,1462.877714953855,1817.1033404882444,94.83958413317774
MA0106202304A0418115,더필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11410,서대문구,11410585,신촌동,1141011200,대현동,1141011200100330015,서울특별시 서대문구 대현동 33-15,114104136322,서울특별시 서대문구 이화여대길,서울특별시 서대문구 이화여대길 58,120808,3765,126.94522212385,37.5592530338968,서울특별시,서대문구,대현동,33-15,서대문구 대현동,94,272,58,0,신촌/이대,공덕역,동교/연남,47.5,60.6,51.8,3397.92483373139,2661.745656275086,5847.631961301337,53.6799629984956
MA010120220812449964,포토시그니처,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11200,성동구,11200550,사근동,1120010700,행당동,1120010700100190009,서울특별시 성동구 행당동 19-9,112003103002,서울특별시 성동구 마조로,서울특별시 성동구 마조로 21,133817,4760,127.040809885254,37.5598971216855,서울특별시,성동구,행당동,19-9,성동구 행당동,67,182,49,0,왕십리,압구정,동대문,45.0,50.6,48.0,5872.648044364904,5785.124079370036,3018.7261347877748,47.887780527798455
MA010120220811961935,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11560,영등포구,11560605,문래동,1156012000,문래동2가,1156012000100140042,서울특별시 영등포구 문래동2가 14-42,115604154228,서울특별시 영등포구 도림로131길,서울특별시 영등포구 도림로131길 13,150092,7290,126.894305174024,37.5137261680668,서울특별시,영등포구,문래동2가,14-42,영등포구 문래동2가,42,223,29,0,영등포역,당산역,목동,34.1,37.1,35.1,10084.290632327722,8811.364728687713,12025.786865298878,35.478103376131784
MA0106202301A0369384,사람사진으로쓰는이야기,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73303,사진 처리업,11680,강남구,11680531,논현2동,1168010800,논현동,1168010800100850002,서울특별시 강남구 논현동 85-2,116804166130,서울특별시 강남구 논현로132길,서울특별시 강남구 논현로132길 31,135818,6053,127.032937733033,37.5156544404711,서울특별시,강남구,논현동,85-2,강남구 논현동,22,328,28,0,논현역,도산대로,신사역,66.1,45.5,71.4,8294.791909024612,7079.621575929381,6492.383427803787,60.997939982736405
MA010120220804016490,더스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680545,압구정동,1168010700,신사동,1168010700105920007,서울특별시 강남구 신사동 592-7,116804166516,서울특별시 강남구 압구정로30길,서울특별시 강남구 압구정로30길 78,135893,6025,127.028779223539,37.5223061255899,서울특별시,강남구,신사동,592-7,강남구 신사동,28,576,43,0,도산대로,논현역,압구정,45.5,66.1,50.6,7483.2576712464,6308.180413734186,5676.937466279874,54.26899958004807
MA010120220801047029,스튜디오밥,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11650,서초구,11650540,잠원동,1165010600,잠원동,1165010600100140017,서울특별시 서초구 잠원동 14-17,116503121002,서울특별시 서초구 나루터로,서울특별시 서초구 나루터로 73,137902,6525,127.01779044609,37.5157006478671,서울특별시,서초구,잠원동,14-17,서초구 잠원동,17,318,58,1,신사역,논현역,압구정,71.4,66.1,50.6,7576.477667481451,6183.173948285835,6195.33122466161,62.39995866674977
MA010120220814145498,아더스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100107890017,서울특별시 강남구 역삼동 789-17,116804166192,서울특별시 강남구 논현로71길,서울특별시 강남구 논현로71길 26,135929,6249,127.037258104543,37.4945780215064,서울특별시,강남구,역삼동,789-17,강남구 역삼동,32,282,56,0,강남대로,교대역,논현역,86.3,41.0,66.1,10463.12032295906,9091.250589755822,8840.432899713192,63.94645141044661
MA010120220808779845,와이제이사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11650,서초구,11650581,반포4동,1165010700,반포동,1165010700100550006,서울특별시 서초구 반포동 55-6,116504163043,서울특별시 서초구 고무래로8길,서울특별시 서초구 고무래로8길 2,137803,6593,127.010506671376,37.5027638142378,서울특별시,서초구,반포동,55-6,서초구 반포동,36,45,14,0,교대역,강남대로,신사역,41.0,86.3,71.4,8630.93956509562,7070.407563721294,7590.108205124112,67.02101069529624
